,alpha,alpha_compound,alpha_weighted,alpha_weighted_compound,lognorm,lognorm_compound
igcv3_wd2,5.963147180827091,5.963147180827091,3.642149404716605,3.642149404716605,1.0463051795959473,1.0463051862186856
igcv3_wd4,3.8390384560147854,3.8390384560147854,3.5809845288627273,3.5809845288627273,1.3005965948104858,1.3005965948104858
mnasnet,3.816543494744685,3.816543494744685,2.853730506391271,2.853730506391271,1.1184130907058716,1.1184130538077581
darts,4.8123977167368235,4.8123977167368235,1.9382101931203866,1.9382101931203866,0.8741836547851562,0.8741836176006073
xception,3.84659640736435,3.84659640736435,6.113938633725852,6.113938633725852,1.4946645498275757,1.4946644214483409
inceptionv3,3.3601373502273084,3.9491187170159443,-0.9586515605555123,0.22843750822275136,0.43726280331611633,0.6229613442102623
inceptionv4,2.8533030866527542,3.3921949214269804,0.1840699702915895,1.2796085134184823,0.591093897819519,0.7773654434004119
inceptionresnetv2,3.3560498702618524,3.9467751317837343,0.40518328382343893,1.4279419540303706,0.6539072394371033,0.8485922434579126
polynet,2.8893847607136642,3.4637672820338348,-3.557415908609756,-3.128583662268186,-0.06690782308578491,0.15254859828697287
nasnet_4a1056,4.3601459057789995,4.3601459057789995,2.7342727661032096,2.7342727661032096,0.9329208731651306,0.9329208322792999
nasnet_6a4032,3.7562149797901134,3.7562149797901134,2.825105056997029,2.825105056997029,1.0107766389846802,1.0107767435849881
pnasnet5large,3.8948486050716573,3.8948486050716573,3.2784054308634794,3.2784054308634794,1.049890398979187,1.0498903979615468
